Track_ID,Album_ID,Name,Duration,Track_added_at,Is_Local,URL
66xErjM5Uym1xvQLhPi6Qs,2B6y1N1nD7tZiaC1XZB0Aj,Olvidala,289586,2022-02-20T06:52:13Z,False,https://open.spotify.com/track/66xErjM5Uym1xvQLhPi6Qs
2Azih8Ylrnjy6ofkY8LSA9,7bqPdbwRG1usgeWFAQ5L73,No Me Olvides,178699,2022-07-11T15:39:11Z,False,https://open.spotify.com/track/2Azih8Ylrnjy6ofkY8LSA9
3rIgo725niu2yb3WNx62Jt,0YGZrIcgnUlZ1v4TxnuFxm,Me Duele La Cabeza,233706,2022-02-20T06:52:57Z,False,https://open.spotify.com/track/3rIgo725niu2yb3WNx62Jt
1AOnpCTCVLY7fAHvyC3VFX,6ZUZsOI1nnt0gts7ia3sH1,"Quizás Si, Quizás No",272400,2022-02-20T06:51:06Z,False,https://open.spotify.com/track/1AOnpCTCVLY7fAHvyC3VFX
5xWiJR6wLOo2FKCF6Ra7pI,0WGSA3JkedP9kc950HvSVP,Regresa,195156,2024-02-06T14:15:57Z,False,https://open.spotify.com/track/5xWiJR6wLOo2FKCF6Ra7pI
4XEXrp37kZXpQTB2r5vWbS,1yM8iaMk4Slsqr94LabgN1,Canalla,225386,2022-04-26T19:59:01Z,False,https://open.spotify.com/track/4XEXrp37kZXpQTB2r5vWbS
6PhNmDUl99uJ9PmMfPGXBz,2eIfWmj7khob6SiDVlr5Uo,Amiga Fiel,207283,2022-11-27T02:55:30Z,False,https://open.spotify.com/track/6PhNmDUl99uJ9PmMfPGXBz
51FH6yUZRNKbGkN3qzyiXK,7odOEHZzb4ROtmS6wBkYtp,Dime Si Te Gusto,267693,2023-02-17T14:12:01Z,False,https://open.spotify.com/track/51FH6yUZRNKbGkN3qzyiXK
60p75BL1Uev6SmxvkZpz0M,2DxbCuwfqgNlYTfIQGqYVA,Ay Hombe,305133,2022-02-20T06:52:34Z,False,https://open.spotify.com/track/60p75BL1Uev6SmxvkZpz0M
35hNtYsDTSNEGwCcIGH2TV,6aKN4CGU6ZC3at6PwB2K7s,Mala,204344,2022-07-10T20:14:52Z,False,https://open.spotify.com/track/35hNtYsDTSNEGwCcIGH2TV
