Track_ID,Artist_ID
5GQIxPkd4OaLECpw8ZPZFm,3MHaV05u0io8fQbZ2XPtlC
7xhUR1RHkkzR3y4T4isqi6,3l0xLmx7tLVp00A5Rd1sIz
5JkcLKiKRmdesLgQoiQSTX,3l0xLmx7tLVp00A5Rd1sIz
5HOWcikdjK3MoqFoPKTxuB,47bVt95bvBMpmJFWoyhH0C
0u4N6w5lBw5xMrzJitRWUo,3MHaV05u0io8fQbZ2XPtlC
2HomhT587nEjLN5Kjz8Eoo,1di2OFOE4oTy5X6oKBrwgz
2kcc5humLS6PKOI9rwvXex,5lwmRuXgjX8xIwlnauTZIP
2kcc5humLS6PKOI9rwvXex,1YYp1qwJ7EAitFINQ7gOKV
4nH1WOx8g4KeDI0DFF3oQj,5lwmRuXgjX8xIwlnauTZIP
3mx8WfEOjeUB1a0fpFxQmi,3rs3EOlJ8jyPpdGiQ9Mhub
5MSlG8Mg7OQkgJ0on0Qrhl,06TVTkMAOR935MhkjX0i2A
5MSlG8Mg7OQkgJ0on0Qrhl,5lwmRuXgjX8xIwlnauTZIP
2w9o0Yw1XYF3mmXMS82Vyp,1LKPL2O3vA3ozNsmshDg3o
0FoYccQVBOwLSPAc2KHr6C,3v0bYWqRbmS46dk8qHdF4u
1cbyVOrjQu3QsmHD2T1Ydf,1qto4hHid1P71emI6Fd8xi
0uLwWjN1KFO678WNJcZDkw,5lwmRuXgjX8xIwlnauTZIP
2rh03rTGRqb4kLFMutjs4n,4cBjJBPtvetlysjjojDLUA
70zh9S1vB7IcUnp7tQRQXb,4QeD9XFoPEHht1Mj8InACT
0jF9xxKr7NOo8mUsX8qoTI,3rs3EOlJ8jyPpdGiQ9Mhub
1dZe54pxTPI1XsISVTR6ns,5lwmRuXgjX8xIwlnauTZIP
1dZe54pxTPI1XsISVTR6ns,06TVTkMAOR935MhkjX0i2A
1dZe54pxTPI1XsISVTR6ns,6Mjbr8K3MiiRMqmFIB4zWq
1dZe54pxTPI1XsISVTR6ns,5rvaaWutd0gsbc2iMNo9k5
4afnRFcsi5esZh3nKo9bFF,4QeD9XFoPEHht1Mj8InACT
2cKGzCcBEnN9BmhR1FOvRM,5LbNX4RX9J7XDJqI82ApFe
4M4oSbEjB8Z94039uyjXuO,1qto4hHid1P71emI6Fd8xi
64KqNDxbHkGBtEZEJERMKQ,5MYIgNE9k1kKL5vs2445Km
64KqNDxbHkGBtEZEJERMKQ,4yUCo2eJ8ebE70tmNh9Q1G
64KqNDxbHkGBtEZEJERMKQ,4r2hbyR026A2cRjgyHNppp
64KqNDxbHkGBtEZEJERMKQ,7mTWbk615MFVnlmzUaZW3C
5LaOePNL1J2kjhmj98xKif,4cBjJBPtvetlysjjojDLUA
2r5sBDnNFP8HpD88lrPHu0,2h8PdiVPpIzf32xzdHHYI1
3RVtszaO0ftqaBAiTebMhW,32eFmMEzUIGpEvhEK4pxIf
3RVtszaO0ftqaBAiTebMhW,6UTnO6XhjHYM2Oe9V0DEH1
2wdHX3UmgnKOtqsd4nz0QH,6c3pIOQxmAS8vo3tGZhuAs
3Ed337L8k9XN4Cje0mr7p6,4cBjJBPtvetlysjjojDLUA
7FrPSk0rZdCPR50pfzdzMK,5lwmRuXgjX8xIwlnauTZIP
43Q4OZu0Rt6zOy9OBqrrzi,4r2hbyR026A2cRjgyHNppp
43Q4OZu0Rt6zOy9OBqrrzi,7mTWbk615MFVnlmzUaZW3C
43Q4OZu0Rt6zOy9OBqrrzi,4yUCo2eJ8ebE70tmNh9Q1G
1SaEt8dwTuLDzenUu5BqI6,1qto4hHid1P71emI6Fd8xi
30N3gwqiuFlHa7FBCiK1Nl,47bVt95bvBMpmJFWoyhH0C
